来源DBC,10进制CAN ID,16进制CAN ID,报文名称,信号代码(Signal Code),信号官方释义(Official Description),信号释义(中文总结),信号获取规则(Acquisition Rule)

tesla_model3_party,280,0x118,DI_systemStatus,DI_accelPedalPos,,"加速踏板踩下百分比, 255=SNA","32|8@1+ (0.4,0) [0|100] ""%"" X"
tesla_model3_party,280,0x118,DI_systemStatus,DI_regenLight,,"动能回收指示灯: 0=关, 1=亮(回收中)","26|1@1+ (1,0) [0|1] """" X"
tesla_model3_party,280,0x118,DI_systemStatus,DI_gear,,"档位: 0=无效, 1=P驻车, 2=R倒车, 3=N空档, 4=D前进, 7=SNA","21|3@1+ (1,0) [0|7] """" park"

tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_highBeamSwitchActive,,远光灯开关激活,"58|1@1+ (1,0) [0|1] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_parkRightStatus,,"右驻车灯: 0=灭, 1=亮, 2=故障, 3=SNA","56|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_parkLeftStatus,,"左驻车灯: 0=灭, 1=亮, 2=故障, 3=SNA","54|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_turnSignalRightStatus,,"右转向灯状态: 0=灭, 1=亮, 2=故障, 3=SNA","52|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_turnSignalLeftStatus,,左转向灯状态,"50|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_sideRepeaterRightStatus,,右侧翼子板转向灯状态,"48|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_sideRepeaterLeftStatus,,左侧翼子板转向灯状态,"46|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_fogRightStatus,,右雾灯状态,"42|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_fogLeftStatus,,左雾灯状态,"40|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_DRLRightStatus,,右日行灯状态,"38|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_DRLLeftStatus,,左日行灯状态,"36|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_highBeamRightStatus,,右远光灯状态,"34|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_highBeamLeftStatus,,左远光灯状态,"32|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_lowBeamRightStatus,,右近光灯状态,"30|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_lowBeamLeftStatus,,左近光灯状态,"28|2@1+ (1,0) [0|3] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_hazardSwitchBacklight,,危险灯开关背光,"27|1@1+ (1,0) [0|1] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_seeYouHomeLightingReq,,伴我回家照明请求,"26|1@1+ (1,0) [0|1] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_approachLightingRequest,,迎宾照明请求,"25|1@1+ (1,0) [0|1] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_switchLightingBrightness,,"开关照明亮度(%), 255=SNA","16|8@1+ (0.5,0) [0|127] ""%"" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_ambientLightingBrightnes,,"氛围灯亮度(%), 255=SNA","8|8@1+ (0.5,0) [0|127] ""%"" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_hazardLightRequest,,"危险灯请求来源: 0=无, 1=按钮, 2=闭锁, 3=解锁, 4=误锁, 5=碰撞, 6=报警, 7=DAS, 8=诊断","4|4@1+ (1,0) [0|8] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_indicatorRightRequest,,"右转向灯请求: 0=关, 1=低有效, 2=高有效","2|2@1+ (1,0) [0|2] """" Receiver"
tesla_model3_vehicle,1013,0x3F5,ID3F5VCFRONT_lighting,VCFRONT_indicatorLeftRequest,,"左转向灯请求: 0=关, 1=低有效, 2=高有效","0|2@1+ (1,0) [0|2] """" Receiver"

tesla_model3_party,785,0x311,UI_warning,buckleStatus,,"安全带扣状态: 0=未扣, 1=已扣","13|1@0+ (1,0) [0|1] """" XXX"
tesla_model3_party,785,0x311,UI_warning,leftBlinkerBlinking,,"左转向灯闪烁状态: 0=灭, 1=闪灭, 2=闪亮","25|2@0+ (1,0) [0|3] """" XXX"
tesla_model3_party,785,0x311,UI_warning,rightBlinkerBlinking,,"右转向灯闪烁状态: 0=灭, 1=闪灭, 2=闪亮","26|2@1+ (1,0) [0|15] """" XXX"
tesla_model3_party,785,0x311,UI_warning,anyDoorOpen,,"任意车门打开: 0=关, 1=开","28|1@0+ (1,0) [0|1] """" XXX"
tesla_model3_party,785,0x311,UI_warning,highBeam,,"远光灯开启: 0=关, 1=开","50|1@0+ (1,0) [0|1] """" XXX"

tesla_model3_party,341,0x155,ESP_B,ESP_vehicleSpeed,,"ESP估算车速(km/h), 0~511, 1023=SNA","42|10@1+ (0.5,0) [0|511] ""kph"" app"
tesla_model3_party,341,0x155,ESP_B,ESP_vehicleStandstillSts,,"ESP车辆静止标志: 0=非静止, 1=静止","41|1@1+ (1,0) [0|1] """" park"

tesla_model3_vehicle,297,0x129,SCCM_steeringAngleSensor,SCCM_steeringAngleSpeed,,"方向盘转角速度(度/秒), -4096~4095.5","32|14@1+ (0.5,-4096) [-4096|4095.5] ""deg/s"" das"
tesla_model3_vehicle,297,0x129,SCCM_steeringAngleSensor,SCCM_steeringAngle,,"方向盘转角(度), -819.2~819, 分辨率为0.1度","16|14@1+ (0.1,-819.2) [-819.2|819] ""deg"" aps"

tesla_model3_party,923,0x39B,DAS_status,DAS_laneDepartureWarning,,"车道偏离预警: 0=无, 1=左, 2=右, 3=左严重, 4=右严重","37|3@1+ (1,0) [0|5] """" aps"
tesla_model3_party,923,0x39B,DAS_status,DAS_sideCollisionWarning,,"侧向碰撞预警: 0=无, 1=左, 2=右, 3=左右","32|2@1+ (1,0) [0|3] """" aps"
tesla_model3_party,923,0x39B,DAS_status,DAS_forwardCollisionWarning,,"前向碰撞预警: 0=无, 1=有警告, 3=SNA","22|2@1+ (1,0) [0|3] """" aps"
tesla_model3_party,923,0x39B,DAS_status,DAS_suppressSpeedWarning,,"抑制超速警告: 0=不抑制, 1=抑制","13|1@1+ (1,0) [0|1] """" aps"
tesla_model3_party,923,0x39B,DAS_status,DAS_blindSpotRearRight,,"右后盲区监测: 0=无警告, 1=1级, 2=2级, 3=SNA","6|2@1+ (1,0) [0|3] """" aps"
tesla_model3_party,923,0x39B,DAS_status,DAS_blindSpotRearLeft,,"左后盲区监测: 0=无警告, 1=1级, 2=2级, 3=SNA","4|2@1+ (1,0) [0|3] """" aps"

tesla_model3_party,263,0x107,IBST_status,IBST_sInputRodDriver,,"制动踏板推杆行程(mm), -5~47mm","21|12@1+ (0.015625,-5) [-5|47] ""mm"" gtw"
tesla_model3_party,263,0x107,IBST_status,IBST_driverBrakeApply,,"驾驶员制动状态: 0=未初始化, 1=未制动, 2=制动中, 3=故障","16|2@1+ (1,0) [0|3] """" gtw"